Name,Brand,Manufacturer URL,Image,Additional Images,Year,MSRP,MSRP Currency,Range  (Miles),Speed   (mph),Weight  (lbs),Max Load   (pounds),Drive,Battery Capacity  (mAh),Battery Power (watts),Battery Watt Hours  (Wh),Charge Time (minutes),Width  (inches),Trucks Width  (inches),Wheelbase  (inches),Board Length  (inches),Wheel Diameter  (mm),Terrain,Style,Deck Materials,Manufacturer's Warranty  (months),Feature Tags,Notes,Attachments
Halo Board 2nd Edition,Halo Board,https://www.haloboard.com/products/haloboard,https://s3.amazonaws.com/eskate-compare/product+images/halo+board+edition+2/main.jpeg,https://s3.amazonaws.com/eskate-compare/product+images/halo+board+edition+2/additional-1.jpeg,2018,"$1,497.00",USD,12.0,22.0,14,286,hub,7000,3000,210.0,180,,9.25,27.0,36.00,83,road,longboard,Carbon Fiber,6,,"Press Kit Photos:
https://www.dropbox.com/sh/jjw96neytvpmz3k/AACJIMqqPC-wImOhp8chnxTEa?dl=0",
Evolve GT Carbon Series Street,Evolve Skateboards,https://www.evolveskateboards.com.au/collections/boards/products/gt-carbon-series-street-electric-skateboard?variant=4474709573659,https://s3.amazonaws.com/eskate-compare/product+images/gt+series+carbon+street/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/gt+series+carbon+street/additional.jpg,2016,"$1,859.00",AUD,31.0,26.0,17,220,belt,10000,3000,360.0,270,,12.00,33.5,40.00,83,road,longboard,"Carbon Fiber,Kevlar",12,,,
Evolve GTX Series Bamboo All Terrain,Evolve Skateboards,https://www.evolveskateboards.com.au/collections/boards/products/bamboo-gtx-series-all-terrain?variant=28374045577,https://s3.amazonaws.com/eskate-compare/product+images/gtx+series+bamboo+all+terrain/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/gtx+series+bamboo+all+terrain/additional.jpg,2017,"$1,959.00",AUD,18.5,25.0,21.6,220,belt,,3000,,270,12.00,12.00,,38.00,97,all,longboard,Bamboo,,,"Sources: 
https://www.electricskateboardhq.com/evolve-bamboo-gtx-preview-groundbreaking-or-more-of-the-same/",
Inboard M1,Inboard Technology,https://www.inboardtechnology.com/products/m1-electric-skateboard?variant=29323661569,https://s3.amazonaws.com/eskate-compare/product+images/inboard+m1/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/inboard+m1/additional.jpg,2016,$999.00,USD,7.0,22.0,14.5,250,hub,,,97.0,90,11.25,,,37.50,80,road,longboard,"Wood,Fiberglass",12,"Travel Safe,Battery Removable,Companion App",,
Lou 3.0,Soflow,https://so-flow.com/collections/electric-skateboards/products/lou-3-0-carbon-fiber-deck-dual-motors-35-km-h,https://s3.amazonaws.com/eskate-compare/product+images/louboard+3.0/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/louboard+3.0/additional.jpg,2017,$999.00,USD,15.0,21.0,12,,hub,3000,3000,108.0,120,10.20,,,26.00,80,road,pennyboard,Carbon Fiber,12,"Companion App,Water Resistant","Louboard US site 
https://www.louboard.com/product/lou-3/

Source https://www.electricboarder.com/electric-skateboard/review/lou-board-1-2-3/",
Boosted Mini S,Boosted Boards,https://boostedboards.com/boards/boosted-mini,https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-s/boosted-mini-s-main.jpg,"https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-s/boosted-mini-s-additional-1.jpg

https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-s/boosted-mini-s-additional-2.jpg

https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-s/boosted-mini-s-additional-3.jpg

",2018,$749.00,USD,7.0,18.0,15,250,belt,,1000,99.0,75,11.00,,,29.50,80,road,pennyboard,"Fiberglass,Wood",6,"Travel Safe,Companion App","Wired review https://www.wired.com/review/review-boosted-mini-s/

",
Boosted Mini X,Boosted Boards,https://boostedboards.com/boards/boosted-mini,https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-x/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-x/additional.jpg,2018,$999.00,USD,14.0,20.0,16.8,250,belt,,1000,199.0,105,11.00,,,29.50,80,road,pennyboard,"Wood,Fiberglass",6,Companion App,,
Boosted Plus,Boosted Boards,https://boostedboards.com/boards/boosted-plus,https://s3.amazonaws.com/eskate-compare/product+images/boosted+plus/main.jpg,"https://s3.amazonaws.com/eskate-compare/product+images/boosted+plus/additional.jpg

https://s3.amazonaws.com/eskate-compare/product+images/boosted+plus/additional-2.jpg",2018,"$1,399.00",USD,14.0,22.0,17,250,belt,,2000,199.0,105,11.30,,,38.00,85,road,longboard,"Wood,Fiberglass",6,"Companion App,Battery Removable",,
Boosted Stealth,Boosted Boards,https://boostedboards.com/boards/boosted-stealth,https://s3.amazonaws.com/eskate-compare/product+images/boosted+stealth/main.jpg,"https://s3.amazonaws.com/eskate-compare/product+images/boosted+stealth/additional.jpg

https://s3.amazonaws.com/eskate-compare/product+images/boosted+stealth/additional-2.jpg",2018,"$1,599.00",USD,14.0,24.0,17,250,belt,,2100,199.0,105,11.30,,,38.00,85,road,longboard,"Wood,Fiberglass",6,"Companion App,Battery Removable",,
Boosted 2nd Gen Dual Plus XR,Boosted Boards,https://boostedboards.com/boards/2nd-gen-boosted-board,https://s3.amazonaws.com/eskate-compare/product+images/boosted+2nd+gen+dual+plus+XR/main.png,"https://s3.amazonaws.com/eskate-compare/product+images/boosted+2nd+gen+dual+plus+XR/additional.jpg

https://s3.amazonaws.com/eskate-compare/product+images/boosted+2nd+gen+dual+plus+XR/additional-2.jpeg",2016,"$1,399.00",USD,14.0,22.0,15.6,250,belt,,2000,199.0,,11.00,,,38.00,80,road,longboard,Bamboo,6,Battery Removable,"BestBuy has good product specs

https://www.bestbuy.com/site/boosted-2nd-gen-dual-electric-skateboard-black-bamboo/6070600.p?skuId=6070600
",
