Name,Brand,Manufacturer URL,Image,Thumbnail Image,Additional Images,Year,Is Variant,MSRP,MSRP Currency,Range  (Miles),Speed   (mph),Weight  (lbs),Max Load   (pounds),Motor Type,Hill Grade (%),Speed Modes,Battery Capacity  (mAh),Battery Power (watts),Battery Watt Hours  (Wh),Charge Time (minutes),Width  (inches),Trucks Width  (inches),Wheelbase  (inches),Board Length  (inches),Wheel Diameter  (mm),Terrain,Style,Deck Materials,Manufacturer's Warranty  (months),Feature Tags,,Attachments
Halo Board 2nd Edition,Halo ,https://www.haloboard.com/products/haloboard,https://s3.amazonaws.com/eskate-compare/product+images/halo+board+edition+2/main.jpeg,https://s3.amazonaws.com/eskate-compare/product+images/halo+board+edition+2/thumbnail.png,https://s3.amazonaws.com/eskate-compare/product+images/halo+board+edition+2/additional-1.jpeg,2018,false,1497,USD,12,22,14,286,hub,25,2,7000,3000,210,180,9.25,9.25,27,36,83,road,longboard,carbon fiber,6,,,
Evolve Bamboo Series One ,Evolve ,https://www.evolveskateboards.com.au/products/one-board?variant=4474996949019,https://s3.amazonaws.com/eskate-compare/product+images/evolve+bamboo+series+one/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/evolve+bamboo+series+one/thumbnail.png,,2017,false,999,AUD,21,22,16.3,220,belt,20,4,7000,2000,252,240,12,12,26,37,83,road,longboard,bamboo,6,,,
Evolve Carbon GT Series Street,Evolve ,https://www.evolveskateboards.com.au/collections/boards/products/gt-carbon-series-street-electric-skateboard?variant=4474709573659,https://s3.amazonaws.com/eskate-compare/product+images/gt+series+carbon+street/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/gt+series+carbon+street/thumbnail.png,https://s3.amazonaws.com/eskate-compare/product+images/gt+series+carbon+street/additional.jpg,2016,false,1859,AUD,31,26,17,220,belt,25,4,10000,3000,360,270,12,12,33.5,40,83,road,longboard,carbon fiber|kevlar,6,,,
Evolve Carbon GT Series All Terrain,Evolve ,https://www.evolveskateboards.com.au/collections/gt-series/products/gt-carbon-series-at-electric-skateboard?variant=4473843515419,https://s3.amazonaws.com/eskate-compare/product+images/evolve+gt+carbon+series+all+terrain/main.png,https://s3.amazonaws.com/eskate-compare/product+images/evolve+gt+carbon+series+all+terrain/thumbnail.png,,2016,false,1899,AUD,18.5,25,21,220,belt,25,4,10000,3000,360,270,12,12,33.5,40,175,all,longboard,carbon fiber|kevlar,6,,,
Evolve Carbon GT Series 2in1,Evolve ,https://www.evolveskateboards.com.au/collections/gt-series/products/gt-carbon-series-2in1-electric-skateboard?variant=4469981118491,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
Evolve Bamboo GTX Series All Terrain,Evolve ,https://www.evolveskateboards.com.au/collections/boards/products/bamboo-gtx-series-all-terrain?variant=28374045577,https://s3.amazonaws.com/eskate-compare/product+images/gtx+series+bamboo+all+terrain/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/gtx+series+bamboo+all+terrain/thumbnail.png,https://s3.amazonaws.com/eskate-compare/product+images/gtx+series+bamboo+all+terrain/additional.jpg,2017,false,1959,AUD,18.5,25,21.6,220,belt,25,4,,3000,,270,12,12,,38,175,all,longboard,bamboo|wood,6,,,
Evolve Bamboo GTX Series Street,Evolve ,https://www.evolveskateboards.com.au/collections/bamboo-gtx-series/products/bamboo-gtx-series-street?variant=4474709573659,https://s3.amazonaws.com/eskate-compare/product+images/evolve+gtx+series+bamboo+street/main.png,https://s3.amazonaws.com/eskate-compare/product+images/evolve+gtx+series+bamboo+street/thumbnail.png,,2017,false,1779,AUD,31,26,19.4,220,belt,25,4,10000,3000,360,270,12,12,29,38,97,road,longboard,bamboo|wood,6,,,
Evolve Bamboo GTX Series 2in1,Evolve ,https://www.evolveskateboards.com.au/collections/bamboo-gtx-series/products/bamboo-gtx-series-2-in-1?variant=4474485571611,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
Evolve Bamboo GT Series All Terrain,Evolve ,https://www.evolveskateboards.com.au/collections/bamboo-gt-series/products/bamboo-gt-series-all-terrain?variant=4477783277595,https://s3.amazonaws.com/eskate-compare/product+images/evolve+bamboo+gt+series+all+terrain/main.png,https://s3.amazonaws.com/eskate-compare/product+images/evolve+bamboo+gt+series+all+terrain/thumbnail.png,,2016,false,1489,AUD,12,25,20,220,belt,25,4,6500,3000,234,210,12,12,29,38,175,all,longboard,bamboo|wood,6,,,
Evolve Bamboo GT Series Street,Evolve ,https://www.evolveskateboards.com.au/collections/bamboo-gt-series/products/bamboo-gt-series-street?variant=4477783277595,https://s3.amazonaws.com/eskate-compare/product+images/evolve+bamboo+gt+series+street/main.png,https://s3.amazonaws.com/eskate-compare/product+images/evolve+bamboo+gt+series+street/thumbnail.png,,2016,false,1449,AUD,21,26,17,220,belt,25,4,6500,3000,234,210,12,12,29,38,83,road,longboard,bamboo|wood,6,,,
Evolve Bamboo GT Series 2in1,Evolve ,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
Inboard M1,Inboard ,https://www.inboardtechnology.com/products/m1-electric-skateboard?variant=29323661569,https://s3.amazonaws.com/eskate-compare/product+images/inboard+m1/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/inboard+m1/thumbnail.png,https://s3.amazonaws.com/eskate-compare/product+images/inboard+m1/additional.jpg,2016,false,999,USD,7,22,14.5,250,hub,15,3,,,97,90,11.25,,,37.5,80,road,longboard,wood|fiberglass,12,travel safe|battery removable|companion app,,
Louboard 3.0,SoFlow,https://so-flow.com/collections/electric-skateboards/products/lou-3-0-carbon-fiber-deck-dual-motors-35-km-h,https://s3.amazonaws.com/eskate-compare/product+images/louboard+3.0/main.jpg,,https://s3.amazonaws.com/eskate-compare/product+images/louboard+3.0/additional.jpg,2017,false,999,USD,15,21,12,,hub,,2,3000,3000,108,120,10.2,,,26,80,road,pennyboard,carbon fiber,12,companion app|water resistant|battery removable,,
Boosted Mini S,Boosted,https://boostedboards.com/boards/boosted-mini,https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-s/boosted-mini-s-main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-s/thumbnail.png,https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-s/boosted-mini-s-additional-1.jpg|https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-s/boosted-mini-s-additional-2.jpg|https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-s/boosted-mini-s-additional-3.jpg,2018,false,749,USD,7,18,15,250,belt,20,3,,1000,99,75,11,,,29.5,80,road,pennyboard,fiberglass|wood,6,travel safe|companion app,,
Boosted Mini X,Boosted,https://boostedboards.com/boards/boosted-mini,https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-x/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-x/thumbnail.png,https://s3.amazonaws.com/eskate-compare/product+images/boosted-mini-x/additional.jpg,2018,false,999,USD,14,20,16.8,250,belt,20,3,,1000,199,105,11,,,29.5,80,road,pennyboard,wood|fiberglass,6,companion app,,
Boosted Plus,Boosted,https://boostedboards.com/boards/boosted-plus,https://s3.amazonaws.com/eskate-compare/product+images/boosted+plus/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/boosted+plus/thumbnail.png,https://s3.amazonaws.com/eskate-compare/product+images/boosted+plus/additional.jpg|https://s3.amazonaws.com/eskate-compare/product+images/boosted+plus/additional-2.jpg,2018,false,1399,USD,14,22,17,250,belt,25,4,,2000,199,105,11.3,,,38,85,road,longboard,wood|fiberglass,6,companion app|battery removable,,
Boosted Stealth,Boosted,https://boostedboards.com/boards/boosted-stealth,https://s3.amazonaws.com/eskate-compare/product+images/boosted+stealth/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/boosted+stealth/thumbnail.png,https://s3.amazonaws.com/eskate-compare/product+images/boosted+stealth/additional.jpg|https://s3.amazonaws.com/eskate-compare/product+images/boosted+stealth/additional-2.jpg,2018,false,1599,USD,14,24,17,250,belt,25,5,,2100,199,105,11.3,,,38,85,road,longboard,wood|fiberglass,6,companion app|battery removable,,
Boosted 2nd Gen Dual Plus XR,Boosted,https://boostedboards.com/boards/2nd-gen-boosted-board,https://s3.amazonaws.com/eskate-compare/product+images/boosted+2nd+gen+dual+plus+XR/main.png,https://s3.amazonaws.com/eskate-compare/product+images/boosted+2nd+gen+dual+plus+XR/main.png,https://s3.amazonaws.com/eskate-compare/product+images/boosted+2nd+gen+dual+plus+XR/additional.jpg|https://s3.amazonaws.com/eskate-compare/product+images/boosted+2nd+gen+dual+plus+XR/additional-2.jpeg,2016,false,1399,USD,14,22,15.6,250,belt,25,4,,2000,199,,11,,,38,80,road,longboard,bamboo,6,battery removable,,
Atom B10X,Atom ,https://www.atomlongboards.com/boards/atom-electric-b10x-all-terrain-longboard-skateboard-90wh-lithium-battery-1000w-motor,https://s3.amazonaws.com/eskate-compare/product+images/atom+b10x/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/boosted+2nd+gen+dual+plus+XR/main.png,,2018,false,500,USD,7,15,14,275,belt,12,2,2500,1000,90,120,10,,,35.8,100,all,longboard,bamboo|wood,6,,,
Atom H16D,Atom ,https://www.atomlongboards.com/boards/40407-atom-electric-h16d-carbon-longboard-skateboard-158wh-lithium-battery-1400w-dual-hub-motors,https://s3.amazonaws.com/eskate-compare/product+images/atom+h16d/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/atom+h16d/thumbnail.png,,2018,false,700,USD,12.4,20,13,275,hub,15,4,4400,1400,158,120,9.4,,,36.6,83,road,longboard,carbon fiber,6,,,
Atom H10,Atom ,https://www.atomlongboards.com/boards/40403-atom-electric-h10-longboard-skateboard-700w-hub-motor-104wh-li-ion-battery,https://s3.amazonaws.com/eskate-compare/product+images/atom+h10/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/atom+h10/thumbnail.png,,2018,false,500,USD,9.3,16,12,220,hub,10,2,2900,700,104,180,9.4,,,36,83,road,longboard,bamboo|wood,6,,,
Atom B10,Atom ,https://www.atomlongboards.com/boards/40406-atom-electric-b10-longboard-skateboard-1000w-single-belt-drive-90wh-li-ion-battery,https://s3.amazonaws.com/eskate-compare/product+images/atom+b10/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/atom+b10/thumbnail.png,,2018,false,450,USD,7,16,11,275,belt,12,2,2500,1000,90,120,9.1,,,29.5,80,road,pennyboard,wood,6,,,
Atom H4,Atom ,https://www.atomlongboards.com/boards/40401-atom-electric-h4-skateboard-400w-hub-motor-55wh-li-ion-battery,https://s3.amazonaws.com/eskate-compare/product+images/atom+h4/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/atom+h4/thumbnail.png,,2018,false,250,USD,4,9.3,8,220,hub,5,2,2200,400,55,120,7.9,,,27.6,70,road,pennyboard,wood,6,,,
Backfire Galaxy G2S,Backfire,https://www.backfireboards.com/galaxy-g2s,https://s3.amazonaws.com/eskate-compare/product+images/backfire+g2s/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/backfire+g2s/thumbnail.png,,2018,true,549,USD,15.5,,14.5,,,,,,,,,,,,,,,,,,,,
Backfire Ranger X1,Backfire,https://www.backfireboards.com/ranger-x1,https://s3.amazonaws.com/eskate-compare/product+images/backfire+ranger+x1/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/backfire+ranger+x1/thumbnail.png,,2018,false,999,USD,21,22,,260,hub,30,,14000,1800,504,,13,,,41.73,165,all,longboard,,6,water resistant,,
Ownboard W1S,Ownboard,https://www.ownboard.net/collections/boards/products/ownboard-w1s40-electric-skateboard?variant=12922128597034,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
Ownboard mini KT,Ownboard,https://www.ownboard.net/collections/boards/products/ownboard-minis-40-electric-skateboard,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
Ownboard C1S,Ownboard,https://www.ownboard.net/collections/boards/products/ownboard-c1s40-electric-skateboard,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
Ownboard W1AS KT,Ownboard,https://www.ownboard.net/collections/boards/products/ownboard-w1as-kt36-2-electric-skateboard,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
Ownboard Tiny Board,Ownboard,https://www.ownboard.net/collections/boards/products/ownboard-penny-board-23-single-motor-electric-skateboard-12mph-20kmh,https://s3.amazonaws.com/eskate-compare/product+images/ownboard+tiny+board/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/ownboard+tiny+board/thumbnail.png,,2018,false,240,USD,6,12,8.2,,hub,,2,3200,,81,120,7.3,,,23,70,road,pennyboard,,,travel safe,,
WowGo 2,WowGo,https://wowgoboard.com/products/wowgo-2-reservation,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
WowGo 2S,WowGo,https://wowgoboard.com/products/wowgo-2s,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
WowGo KT,WowGo,https://wowgoboard.com/products/wowgo-kit-electric-skateboard,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
WowGo Mini,WowGo,https://wowgoboard.com/products/wowgo-mini-electric-skateboard,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
Meepo Campus 2,Meepo,https://www.meepoboard.com/products/meepo-campus2,https://s3.amazonaws.com/eskate-compare/product+images/meepo+campus+2/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/meepo+campus+2/thumbnail.png,,2018,false,299,USD,13,18,12.5,150,hub,10,,8100,250,291,120,10,,,32,83,road,pennyboard,wood,,,,
Meepo V2P,Meepo,https://www.meepoboard.com/products/meepo-board-v2p-short-deck-30,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
Meepo AWD GT,Meepo,https://www.meepoboard.com/products/meepo-awd-gt-electric-longboard,https://s3.amazonaws.com/eskate-compare/product+images/meepo+awd+gt/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/meepo+awd+gt/thumbnail.png,,2018,false,799,USD,14,28,23,280,hub,35,4,,1200,,180,9.5,,,40,90,road,longboard,wood|bamboo,,,,
Meepo V2,Meepo,https://www.meepoboard.com/products/meepo-board,https://s3.amazonaws.com/eskate-compare/product+images/meepo+v2/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/meepo+v2/thumbnail.png,,2018,true,,,,,,,,,,,,,,,,,,,,,,,,,
Teemo M-1,Teemo,https://teemoboard.com/collections/longboard/products/teemo-electric-skateboard-longboard?variant=12414353932376,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
